plotID,county_region,county,own_land,community_land,government_land,mosque_church_land,school_land,other_land,crops,croplist,species_name,plant_date,number_planted,number_survived,woodlot,internal_boundary,external_boundary,garden,crop_field,pasture_grassland,fallow_bushland,mgt_prunning,mgt_fencing,mgt_weeding,mgt_watering,mgt_organic_fertilizer,Hectare
37977,Eastern,Kayonza,yes,no,no,no,no,"",Yes,pomme de terre,greveria robusta,2018-11-01,40,20,no,no,no,no,yes,no,no,no,no,yes,no,no,0.028067547713265
6091,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,"banana tree ,beans",Grevillea robusta,2018-09-01,50,40,no,yes,no,no,yes,no,no,yes,no,no,no,no,0.170238438623056
4175,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"beans, maize",Mangifera indica,2018-10-01,15,10,no,no,no,no,yes,no,no,no,no,yes,no,yes,0.0497884566225866
21682,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"ibishyimbo ,ibigori",Grevillea robusta,2018-11-01,25,0,no,yes,yes,no,yes,no,no,yes,no,no,no,no,0.204773708252534
36338,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,"greveriya,caricapapayes,enspectabilus,personal Amercane",carica papaye,2018-01-01,3,1,no,no,no,yes,no,no,no,no,no,no,no,yes,0.0377374626450494
24428,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"banana crops, Maize, Cassava",Grevillea robusta,2018-08-01,15,11,no,yes,yes,no,no,no,no,no,no,yes,no,yes,0.148158920774064
6120,Eastern,Bugesera,yes,no,no,no,no,"",No,"",Eucalyptus spp,2018-09-01,110,96,yes,no,no,no,no,no,no,yes,no,no,no,no,0.0527739375000075
36021,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"Intsina, Imyumbati",Ipapayi,2018-11-01,3,2,no,no,no,no,yes,no,no,no,no,yes,no,yes,0.00990918216215635
35262,"",Kayonza,"","","","","","","","",Grevillea robusta,2018-12-01,20,15,no,no,no,no,yes,no,no,yes,no,yes,no,yes,0.109555597243899
6036,Eastern,Kayonza,yes,no,no,no,no,"",No,"",Grevellea rubusta,2018-09-01,500,430,yes,no,no,no,no,no,no,yes,yes,no,no,yes,0.261616096731557
23431,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"imyumbati,amateke, ibigori",gereveliya,2018-10-01,20,6,no,yes,yes,no,no,no,no,no,no,no,no,yes,0.0803559486968705
21635,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"ibigori, imyumbti, urutoki, amateke",gereveliya,2018-09-01,25,17,no,no,no,no,yes,no,no,no,no,yes,no,yes,0.110130028917354
